Titre du livre,Lien du livre,Catégorie,Prix HT,Prix TTC,Disponibilité,Code,Note
It's Only the Himalayas,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Travel,£45.17,£45.17,In stock (19 available),a22124811bfa8350,Two
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,http://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Travel,£49.43,£49.43,In stock (15 available),ce60436f52c5ee68,Four
See America: A Celebration of Our National Parks & Treasured Sites,http://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,Travel,£48.87,£48.87,In stock (14 available),f9705c362f070608,Three
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,http://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,Travel,£36.94,£36.94,In stock (8 available),1809259a5a5f1d8d,Two
Under the Tuscan Sun,http://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,Travel,£37.33,£37.33,In stock (7 available),a94350ee74deaa07,Three
A Summer In Europe,http://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,Travel,£44.34,£44.34,In stock (7 available),cc1936a9f4e93477,Two
The Great Railway Bazaar,http://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,Travel,£30.54,£30.54,In stock (6 available),48736df57e7bec9f,One
A Year in Provence (Provence #1),http://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,Travel,£56.88,£56.88,In stock (6 available),9e60929f521fa280,Four
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),http://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,Travel,£23.21,£23.21,In stock (3 available),366a236aa1ea6f07,One
Neither Here nor There: Travels in Europe,http://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,Travel,£38.95,£38.95,In stock (3 available),747cf7fca2ccdbd4,Three
"1,000 Places to See Before You Die",http://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,Travel,£26.08,£26.08,In stock (1 available),228ba5e7577e1d49,Five
